ax,ay,az,gx,gy,gz,mx,my,mz,lax,lay,laz,q1,q2,q3,q4
-0.01992797,-0.05639647,-0.003662108,0.004677773,-0.005392075,-0.004837036,-0.1382776,0.9445539,0.00548645,-0.004355431,0.003228188,0.006764412,0.7555264,-0.2530863,0.5937425,0.1122354
-0.02005005,-0.05599974,-0.005096434,0.003731728,-0.005331039,-0.005172729,-0.1622775,0.9655539,-0.03651275,-0.004496574,0.003641129,0.005265236,0.7551323,-0.2533472,0.5940661,0.1125866
-0.02096557,-0.05532835,-0.005310057,0.002999306,-0.00569725,-0.004928589,-0.1622775,0.9655539,-0.03651275,-0.005423546,0.004325867,0.004994392,0.7547756,-0.2536535,0.5943226,0.1129345
-0.02050781,-0.05572508,-0.006195066,0.001870155,-0.005788803,-0.005447388,-0.1622775,0.9655539,-0.03651275,-0.004984856,0.003941536,0.004065514,0.754479,-0.2539125,0.5945092,0.1133508
-0.02185058,-0.05706786,-0.007202147,0.001381874,-0.005880356,-0.00553894,-0.1322775,0.9145538,-0.05451294,-0.006342888,0.002609253,0.00302124,0.7542194,-0.2541822,0.5946435,0.113769
-0.02221679,-0.05657957,-0.007385252,0.0007104874,-0.006399155,-0.00553894,-0.1322775,0.9145538,-0.05451294,-0.00672245,0.003106117,0.002806664,0.7539867,-0.2544837,0.5947242,0.1142149
-0.02236938,-0.05752562,-0.006988524,0.0001001358,-0.006765366,-0.005752563,-0.1322775,0.9145538,-0.05451294,-0.006890297,0.002168655,0.003174782,0.7537621,-0.2547942,0.5947823,0.1147012
-0.02227783,-0.05657957,-0.006195066,-0.0002641678,-0.007802963,-0.005996704,-0.1562775,0.932554,-0.05451294,-0.006813049,0.003123283,0.003938675,0.7535204,-0.255159,0.594826,0.1152505
-0.02322387,-0.05657957,-0.007385252,-0.0003862381,-0.008169174,-0.005874634,-0.1562775,0.932554,-0.05451294,-0.007769585,0.003129959,0.002723694,0.7533031,-0.2555581,0.5948237,0.1157972
-0.02374267,-0.05639647,-0.007446287,-0.0008134842,-0.008382797,-0.005996704,-0.1562775,0.932554,-0.05451294,-0.008296967,0.00331974,0.002640724,0.753103,-0.255971,0.5947901,0.1163581
-0.0234375,-0.05551146,-0.006317137,-0.001545906,-0.008932114,-0.00617981,-0.1472775,0.9235538,-0.03651275,-0.008001328,0.004210472,0.003750801,0.7529048,-0.2564079,0.5947334,0.116967
-0.02368164,-0.05484007,-0.004180906,-0.002095222,-0.009420395,-0.006088257,-0.1472775,0.9235538,-0.03651275,-0.00825119,0.004886627,0.005864143,0.7526849,-0.2568987,0.5946773,0.1175894
-0.02416992,-0.05496214,-0.004333494,-0.002766609,-0.01006126,-0.006149292,-0.1472775,0.9235538,-0.03651275,-0.00874424,0.004769325,0.005693436,0.7524856,-0.2574256,0.5945708,0.1182489
-0.02383422,-0.05532835,-0.002960203,-0.00301075,-0.01042747,-0.006088257,-0.1832776,0.926554,-0.05751282,-0.008413315,0.004407883,0.007044792,0.7522622,-0.2579778,0.5944783,0.11893
-0.02386474,-0.05444335,-0.001922606,-0.003621101,-0.01088524,-0.005966187,-0.1832776,0.926554,-0.05751282,-0.008444786,0.005296707,0.008061409,0.7520418,-0.2585694,0.5943599,0.119629
-0.02383422,-0.05514525,-0.001983641,-0.003926277,-0.01131248,-0.006057739,-0.1832776,0.926554,-0.05751282,-0.00841713,0.004598618,0.0079813,0.751824,-0.2591742,0.5942239,0.1203623
-0.02346801,-0.05538939,-0.001281736,-0.003499031,-0.01180077,-0.006118774,-0.1682776,0.9595538,-0.04851288,-0.008054733,0.004360199,0.008657455,0.7515613,-0.2598055,0.5941269,0.1211184
-0.0231018,-0.05465697,-0.001800535,-0.003560066,-0.01164818,-0.005630493,-0.1682776,0.9595538,-0.04851288,-0.007689476,0.005096436,0.008114815,0.7513204,-0.2604395,0.5940052,0.1218459
-0.02371215,-0.0550537,-0.0007934552,-0.003651619,-0.01201439,-0.00553894,-0.1682776,0.9595538,-0.04851288,-0.008296967,0.004703522,0.009095192,0.7510576,-0.2611177,0.5938902,0.1225736
-0.02331543,-0.05551146,-0.0004577618,-0.003499031,-0.01256371,-0.005325317,-0.1412775,0.947554,-0.060513,-0.007896423,0.004249573,0.009399414,0.7507695,-0.2618308,0.5937861,0.1233192
-0.0236206,-0.05569457,-0.0004577618,-0.003437996,-0.01314354,-0.005233765,-0.1412775,0.947554,-0.060513,-0.008194923,0.004070282,0.009366035,0.7504677,-0.2625867,0.5936754,0.1240795
-0.02328491,-0.05548094,-0.001708983,-0.003376961,-0.01402855,-0.005050659,-0.1412775,0.947554,-0.060513,-0.007851601,0.004286766,0.008084297,0.7501708,-0.2633835,0.5935304,0.1248777
-0.0231018,-0.05499266,-0.002777098,-0.003560066,-0.01439476,-0.004745483,-0.1562775,0.9565539,-0.05451294,-0.007657051,0.004776955,0.006990433,0.7498991,-0.2642006,0.5933405,0.1256834
